cycle, line, pc, inst, gpio_8, gpio_9, gpio_10, gpio_12, gpio_16, gpio_17, irq, x, y, isr_bitctr, isr, osr_bitctr, osr, txfifo_num, txfifo[0], txfifo[1], txfifo[2], txfifo[3], rxfifo_num, rxfifo[0], rxfifo[1], rxfifo[2], rxfifo[3]
67, 16, 0x0c, "wait 0 pin 0x01 side 0x06", 0, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 2, 0xffff7ffa, 0xffffffff, 0x00000000, 0x00000000
68, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
69, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
70, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
71, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
72, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
73, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
74, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
75, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
76, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
77, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
78, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
79, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
80, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
81, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
82, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
83, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
84, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
85, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
86, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
87, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
88, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
89, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
90, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
91, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 1, 0xffffffff, 0x00000000, 0x00000000, 0x00000000
92, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
93, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
94, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
95, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
96, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
97, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
98, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
99, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
100, 17, 0x0d, "wait 1 pin 0x01 side 0x07", 1, 1, 1, 1, 0, 1, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
101, 2, 0x00, "wait 0 pin 0x00 side 0x01", 1, 0, 0, 1, 0, 1, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
102, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
103, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
104, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
105, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
106, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
107, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
108, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
109, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
110, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 1, 0x00008001, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
111, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 1, 0x00008001, 0x00000000, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
112, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 2, 0x00008001, 0x00008002, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
113, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 2, 0x00008001, 0x00008002, 0x00000000, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
114, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 3, 0x00008001, 0x00008002, 0x00008003, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
115, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 3, 0x00008001, 0x00008002, 0x00008003, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
116, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
117, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
118, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
119, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 0, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
120, 3, 0x01, "wait 1 pin 0x00 side 0x02", 0, 1, 0, 1, 1, 0, 0x00, 0xffff7ffa, 0xffffffff, 0, 0x00000000, 1, 0x00004002, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
121, 4, 0x02, "set y 0x04 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffa, 0x00000004, 0, 0x00000000, 1, 0x00004002, 4, 0x00008001, 0x00008002, 0x00008003, 0x00008004, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
122, 6, 0x03, "pull block side 0x03", 1, 1, 0, 1, 1, 0, 0x00, 0xffff7ffa, 0x00000004, 0, 0x00000000, 0, 0x00008001, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
123, 7, 0x04, "mov x !osr side 0x04 [1]", 0, 0, 1, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000004, 0, 0x00000000, 0, 0x00008001, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
124, 8, 0x05, "delay", 0, 0, 1, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000004, 0, 0x00000000, 0, 0x00008001, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
125, 8, 0x05, "out pins 0x01 side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000004, 0, 0x00000000, 1, 0x00004000, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
126, 9, 0x06, "in x 0x20", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000004, 32, 0xffff7ffe, 1, 0x00004000, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 0, 0x00000000, 0x00000000, 0x00000000, 0x00000000
127, 10, 0x07, "push block side 0x05", 1, 0, 1, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000004, 0, 0x00000000, 1, 0x00004000, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
128, 11, 0x08, "jmp y-- loop_top side 0x00", 0, 0, 0, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000003, 0, 0x00000000, 1, 0x00004000, 3, 0x00008002, 0x00008003, 0x00008004, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
129, 6, 0x03, "pull block side 0x03", 1, 1, 0, 1, 1, 0, 0x00, 0xffff7ffe, 0x00000003, 0, 0x00000000, 0, 0x00008002, 2, 0x00008003, 0x00008004, 0x00000000, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
130, 7, 0x04, "mov x !osr side 0x04 [1]", 0, 0, 1, 1, 1, 0, 0x00, 0xffff7ffd, 0x00000003, 0, 0x00000000, 0, 0x00008002, 3, 0x00008003, 0x00008004, 0x00008005, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
131, 8, 0x05, "delay", 0, 0, 1, 1, 1, 0, 0x00, 0xffff7ffd, 0x00000003, 0, 0x00000000, 0, 0x00008002, 3, 0x00008003, 0x00008004, 0x00008005, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
132, 8, 0x05, "out pins 0x01 side 0x00", 0, 0, 0, 0, 1, 0, 0x00, 0xffff7ffd, 0x00000003, 0, 0x00000000, 1, 0x00004001, 3, 0x00008003, 0x00008004, 0x00008005, 0x00000000, 1, 0xffff7ffe, 0x00000000, 0x00000000, 0x00000000
